Frame,Vehicle_Count,Density_Decision
1,0,Bekleniyor
2,0,Bekleniyor
3,5,Dusuk Yogunluk
4,5,Dusuk Yogunluk
5,5,Dusuk Yogunluk
6,5,Dusuk Yogunluk
7,5,Dusuk Yogunluk
8,5,Dusuk Yogunluk
9,5,Dusuk Yogunluk
10,5,Dusuk Yogunluk
11,5,Dusuk Yogunluk
12,5,Dusuk Yogunluk
13,5,Dusuk Yogunluk
14,5,Dusuk Yogunluk
15,5,Dusuk Yogunluk
16,5,Dusuk Yogunluk
17,5,Dusuk Yogunluk
18,4,Dusuk Yogunluk
19,4,Dusuk Yogunluk
20,4,Dusuk Yogunluk
21,4,Dusuk Yogunluk
22,4,Dusuk Yogunluk
23,4,Dusuk Yogunluk
24,6,Orta Yogunluk
25,6,Orta Yogunluk
26,6,Orta Yogunluk
27,6,Orta Yogunluk
28,6,Orta Yogunluk
29,6,Orta Yogunluk
30,5,Dusuk Yogunluk
31,5,Dusuk Yogunluk
32,5,Dusuk Yogunluk
33,4,Dusuk Yogunluk
34,4,Dusuk Yogunluk
35,4,Dusuk Yogunluk
36,5,Dusuk Yogunluk
37,5,Dusuk Yogunluk
38,5,Dusuk Yogunluk
39,5,Dusuk Yogunluk
40,5,Dusuk Yogunluk
41,5,Dusuk Yogunluk
42,7,Orta Yogunluk
43,7,Orta Yogunluk
44,7,Orta Yogunluk
45,9,Orta Yogunluk
46,9,Orta Yogunluk
47,9,Orta Yogunluk
48,5,Dusuk Yogunluk
49,5,Dusuk Yogunluk
50,5,Dusuk Yogunluk
51,5,Dusuk Yogunluk
52,5,Dusuk Yogunluk
53,5,Dusuk Yogunluk
54,5,Dusuk Yogunluk
55,5,Dusuk Yogunluk
56,5,Dusuk Yogunluk
57,6,Orta Yogunluk
58,6,Orta Yogunluk
59,6,Orta Yogunluk
60,5,Dusuk Yogunluk
61,5,Dusuk Yogunluk
62,5,Dusuk Yogunluk
63,7,Orta Yogunluk
64,7,Orta Yogunluk
65,7,Orta Yogunluk
66,7,Orta Yogunluk
67,7,Orta Yogunluk
68,7,Orta Yogunluk
69,7,Orta Yogunluk
70,7,Orta Yogunluk
71,7,Orta Yogunluk
72,7,Orta Yogunluk
73,7,Orta Yogunluk
74,7,Orta Yogunluk
75,7,Orta Yogunluk
76,7,Orta Yogunluk
77,7,Orta Yogunluk
78,6,Orta Yogunluk
79,6,Orta Yogunluk
80,6,Orta Yogunluk
81,5,Dusuk Yogunluk
82,5,Dusuk Yogunluk
83,5,Dusuk Yogunluk
84,7,Orta Yogunluk
85,7,Orta Yogunluk
86,7,Orta Yogunluk
87,3,Dusuk Yogunluk
88,3,Dusuk Yogunluk
89,3,Dusuk Yogunluk
90,4,Dusuk Yogunluk
91,4,Dusuk Yogunluk
92,4,Dusuk Yogunluk
93,3,Dusuk Yogunluk
94,3,Dusuk Yogunluk
95,3,Dusuk Yogunluk
96,3,Dusuk Yogunluk
97,3,Dusuk Yogunluk
98,3,Dusuk Yogunluk
99,3,Dusuk Yogunluk
100,3,Dusuk Yogunluk
101,3,Dusuk Yogunluk
102,5,Dusuk Yogunluk
103,5,Dusuk Yogunluk
104,5,Dusuk Yogunluk
105,4,Dusuk Yogunluk
106,4,Dusuk Yogunluk
107,4,Dusuk Yogunluk
108,5,Dusuk Yogunluk
109,5,Dusuk Yogunluk
110,5,Dusuk Yogunluk
111,4,Dusuk Yogunluk
112,4,Dusuk Yogunluk
113,4,Dusuk Yogunluk
114,4,Dusuk Yogunluk
115,4,Dusuk Yogunluk
116,4,Dusuk Yogunluk
117,3,Dusuk Yogunluk
118,3,Dusuk Yogunluk
119,3,Dusuk Yogunluk
120,2,Dusuk Yogunluk
121,2,Dusuk Yogunluk
122,2,Dusuk Yogunluk
123,2,Dusuk Yogunluk
124,2,Dusuk Yogunluk
125,2,Dusuk Yogunluk
126,3,Dusuk Yogunluk
127,3,Dusuk Yogunluk
128,3,Dusuk Yogunluk
129,3,Dusuk Yogunluk
130,3,Dusuk Yogunluk
131,3,Dusuk Yogunluk
132,4,Dusuk Yogunluk
133,4,Dusuk Yogunluk
134,4,Dusuk Yogunluk
135,4,Dusuk Yogunluk
136,4,Dusuk Yogunluk
137,4,Dusuk Yogunluk
138,4,Dusuk Yogunluk
139,4,Dusuk Yogunluk
140,4,Dusuk Yogunluk
141,5,Dusuk Yogunluk
142,5,Dusuk Yogunluk
143,5,Dusuk Yogunluk
144,6,Orta Yogunluk
145,6,Orta Yogunluk
146,6,Orta Yogunluk
147,4,Dusuk Yogunluk
148,4,Dusuk Yogunluk
149,4,Dusuk Yogunluk
150,6,Orta Yogunluk
151,6,Orta Yogunluk
152,6,Orta Yogunluk
153,6,Orta Yogunluk
154,6,Orta Yogunluk
155,6,Orta Yogunluk
156,6,Orta Yogunluk
157,6,Orta Yogunluk
158,6,Orta Yogunluk
